Product_ID,Sale_Date,Sales_Rep,Region,Sales_Amount,Quantity_Sold,Product_Category,Unit_Cost,Unit_Price,Customer_Type,Discount,Payment_Method,Sales_Channel
1019,11/01/2022,Alice,East,"£21,791.04",6,Food,"£2,972.07","£3,652.60",New,1%,Cash,Retail
1063,11/01/2022,Charlie,East,"£90,351.62",25,Clothing,£560.39,"£3,725.84",New,3%,Bank Transfer,Retail
1085,11/01/2022,Eve,West,"£92,001.35",25,Electronics,£391.31,"£5,257.22",New,30%,Bank Transfer,Online
1077,11/01/2022,David,East,"£102,061.16",33,Furniture,£383.51,"£3,155.88",New,2%,Bank Transfer,Online
1091,12/01/2022,David,West,"£66,827.94",30,Electronics,"£2,090.50","£2,447.91",New,9%,Bank Transfer,Retail
1090,12/01/2022,David,South,"£23,509.91",15,Clothing,"£1,239.02","£2,089.77",Returning,25%,Cash,Retail
1021,12/01/2022,Eve,West,"£201,119.18",41,Electronics,"£3,565.28","£4,971.23",Returning,1%,Bank Transfer,Online
1009,12/01/2022,Alice,West,"£115,947.25",24,Food,"£1,282.59","£4,929.73",New,2%,Cash,Online
1095,13/01/2022,Charlie,North,"£30,869.77",12,Clothing,"£2,485.41","£2,574.56",Returning,0%,Bank Transfer,Online
1057,13/01/2022,Alice,North,"£161,600.89",45,Clothing,"£3,316.21","£3,734.86",Returning,4%,Bank Transfer,Retail
1097,13/01/2022,Charlie,East,"£43,072.48",15,Clothing,"£2,002.38","£3,545.06",Returning,19%,Credit Card,Online
1005,13/01/2022,Alice,West,"£122,728.62",27,Food,"£3,962.83","£4,995.06",New,9%,Bank Transfer,Retail
1050,13/01/2022,Bob,South,"£63,746.26",35,Clothing,£313.88,"£1,897.21",New,4%,Credit Card,Retail
1040,13/01/2022,Charlie,North,"£73,940.23",21,Clothing,£797.86,"£4,142.31",Returning,15%,Cash,Retail
1097,14/01/2022,Alice,North,"£4,603.45",3,Furniture,"£1,155.55","£1,704.98",Returning,10%,Credit Card,Retail
1073,15/01/2022,David,West,"£39,801.14",15,Food,"£2,127.45","£3,085.36",Returning,14%,Cash,Online
1020,15/01/2022,Charlie,East,"£67,761.20",17,Food,"£2,408.56","£4,195.74",New,5%,Credit Card,Online
1080,15/01/2022,Charlie,West,"£54,863.42",40,Electronics,£419.03,"£1,558.62",New,12%,Bank Transfer,Online
1026,15/01/2022,Alice,South,"£88,580.37",44,Clothing,£309.67,"£2,455.11",New,18%,Bank Transfer,Online
1094,16/01/2022,Charlie,West,"£58,782.81",35,Furniture,"£1,105.18","£1,930.47",Returning,13%,Credit Card,Online
1007,16/01/2022,Charlie,North,"£126,609.47",32,Electronics,"£2,299.08","£4,654.76",Returning,15%,Cash,Online
1052,18/01/2022,Charlie,South,"£40,925.78",9,Clothing,"£3,977.96","£4,660.50",New,2%,Credit Card,Online
1002,19/01/2022,David,South,"£28,237.95",8,Furniture,"£1,122.80","£3,715.52",New,5%,Bank Transfer,Retail
1025,19/01/2022,Eve,East,"£47,149.26",36,Furniture,£756.90,"£1,819.03",Returning,28%,Cash,Retail
1090,19/01/2022,Charlie,West,"£126,511.15",41,Food,"£2,425.49","£3,181.07",New,3%,Credit Card,Retail
1070,19/01/2022,David,East,"£221,210.14",47,Electronics,"£1,433.22","£5,007.02",Returning,6%,Credit Card,Retail
1081,20/01/2022,David,East,"£7,889.80",2,Clothing,"£2,724.36","£5,479.03",New,28%,Credit Card,Online
1042,21/01/2022,Bob,West,"£6,886.63",2,Food,"£2,947.67","£3,525.62",Returning,2%,Bank Transfer,Retail
1024,21/01/2022,Bob,South,"£144,453.65",35,Clothing,"£4,011.22","£4,585.83",New,10%,Bank Transfer,Retail
1091,21/01/2022,Bob,North,"£24,148.08",18,Clothing,£713.46,"£1,341.56",Returning,0%,Cash,Retail
1084,21/01/2022,David,South,"£71,442.06",23,Food,"£2,192.75","£3,788.02",Returning,18%,Credit Card,Retail
1070,21/01/2022,Eve,South,"£97,122.55",42,Furniture,"£1,159.60","£3,256.96",New,29%,Credit Card,Retail
1019,22/01/2022,Eve,North,"£3,267.80",1,Clothing,£952.30,"£3,630.89",New,10%,Cash,Retail
1084,22/01/2022,Alice,North,"£71,634.34",17,Clothing,"£3,750.72","£4,218.92",New,0%,Credit Card,Online
1063,22/01/2022,David,South,"£96,569.06",50,Clothing,£596.17,"£1,950.89",New,1%,Credit Card,Online
1010,22/01/2022,Alice,South,"£85,859.14",30,Food,£635.46,"£3,974.96",New,28%,Cash,Retail
1003,23/01/2022,David,North,"£53,393.09",14,Food,"£3,340.75","£4,767.24",Returning,20%,Credit Card,Online
1079,23/01/2022,Eve,East,"£192,129.52",44,Furniture,"£4,051.42","£4,389.68",New,1%,Cash,Online
1020,23/01/2022,Alice,South,"£177,646.98",42,Electronics,"£3,716.23","£4,229.69",Returning,0%,Bank Transfer,Retail
1044,24/01/2022,Charlie,North,"£73,101.65",18,Food,"£2,249.73","£4,274.95",Returning,5%,Bank Transfer,Online
1006,25/01/2022,Charlie,East,"£7,494.87",4,Food,£548.08,"£2,433.40",Returning,23%,Bank Transfer,Retail
1065,25/01/2022,Bob,West,"£32,304.13",14,Electronics,£290.74,"£2,563.82",New,10%,Cash,Online
1090,26/01/2022,Bob,West,"£9,561.29",3,Clothing,"£2,180.34","£3,390.53",New,6%,Credit Card,Online
1043,26/01/2022,Charlie,East,"£5,401.51",2,Clothing,£285.34,"£3,000.84",New,10%,Bank Transfer,Online
1040,27/01/2022,Charlie,East,"£46,140.52",13,Food,"£3,310.57","£3,816.42",New,7%,Bank Transfer,Online
1035,27/01/2022,Charlie,North,"£39,595.33",37,Food,£725.42,"£1,337.68",Returning,20%,Cash,Retail
1017,27/01/2022,David,West,"£151,430.52",48,Furniture,"£2,015.57","£3,847.32",New,18%,Credit Card,Online
1035,27/01/2022,Alice,West,"£144,818.23",44,Furniture,"£1,864.78","£3,965.45",Returning,17%,Credit Card,Online
1055,28/01/2022,David,North,"£164,840.90",38,Electronics,"£3,976.75","£4,566.23",New,5%,Cash,Retail
1068,28/01/2022,Alice,West,"£100,268.18",42,Clothing,"£1,979.08","£2,460.88",New,3%,Bank Transfer,Retail
1022,28/01/2022,Charlie,West,"£83,501.50",32,Food,£655.69,"£2,805.83",New,7%,Bank Transfer,Online
1074,28/01/2022,Alice,South,"£89,011.55",19,Electronics,£880.36,"£4,732.14",New,1%,Credit Card,Retail
1085,29/01/2022,Charlie,East,"£94,069.60",34,Electronics,"£2,615.79","£3,007.34",New,8%,Cash,Retail
1075,29/01/2022,Eve,North,"£164,018.64",39,Food,"£3,757.94","£4,834.03",Returning,13%,Credit Card,Retail
1065,29/01/2022,Charlie,East,"£161,726.54",50,Electronics,£637.63,"£3,477.99",Returning,7%,Bank Transfer,Retail
1006,31/01/2022,Bob,North,"£2,774.40",1,Clothing,"£1,973.03","£3,117.30",Returning,11%,Cash,Online
1086,31/01/2022,Charlie,East,"£27,973.13",9,Clothing,"£2,799.23","£3,262.50",New,5%,Credit Card,Online
1086,31/01/2022,Eve,South,"£6,285.24",4,Food,£339.33,"£1,636.78",Returning,4%,Bank Transfer,Online
1088,01/02/2022,Charlie,North,"£56,052.93",12,Furniture,"£4,600.53","£4,799.31",New,3%,Bank Transfer,Retail
1062,01/02/2022,David,North,"£106,976.48",43,Clothing,£793.99,"£3,317.10",New,25%,Credit Card,Retail
1081,02/02/2022,Bob,West,"£3,247.37",1,Electronics,"£3,178.10","£3,266.00",Returning,1%,Credit Card,Online
1052,02/02/2022,Charlie,North,"£17,353.56",16,Electronics,£910.61,"£1,261.16",Returning,14%,Cash,Online
1086,02/02/2022,Alice,North,"£163,478.20",49,Furniture,"£3,163.57","£4,570.26",Returning,27%,Bank Transfer,Online
1064,02/02/2022,Alice,North,"£37,532.00",20,Food,"£1,112.92","£2,316.79",New,19%,Bank Transfer,Retail
1088,02/02/2022,Eve,East,"£97,128.02",46,Furniture,"£1,421.94","£2,154.57",New,2%,Bank Transfer,Retail
1091,02/02/2022,Charlie,North,"£145,215.84",39,Clothing,"£1,923.59","£4,899.32",Returning,24%,Cash,Retail
1047,02/02/2022,Eve,West,"£174,040.56",34,Food,£414.20,"£5,118.84",New,0%,Bank Transfer,Retail
1040,03/02/2022,Eve,West,"£46,360.38",24,Food,£830.57,"£2,033.35",Returning,5%,Cash,Retail
1012,03/02/2022,Alice,North,"£50,869.21",18,Electronics,£775.91,"£3,819.01",Returning,26%,Cash,Retail
1070,04/02/2022,Alice,North,"£54,861.90",23,Furniture,"£2,368.65","£2,385.30",Returning,0%,Cash,Retail
1015,04/02/2022,Eve,North,"£116,817.73",33,Furniture,"£3,426.59","£3,629.69",Returning,2%,Cash,Retail
1085,04/02/2022,David,East,"£11,121.84",5,Electronics,"£1,344.04","£2,527.69",Returning,12%,Bank Transfer,Retail
1003,04/02/2022,Alice,South,"£167,872.27",41,Food,"£1,575.11","£4,874.34",Returning,16%,Bank Transfer,Retail
1036,05/02/2022,Bob,South,"£105,853.09",36,Furniture,"£2,924.26","£2,950.92",Returning,0%,Credit Card,Online
1095,05/02/2022,Eve,West,"£10,556.03",7,Clothing,"£1,242.16","£1,621.51",New,7%,Bank Transfer,Online
1037,05/02/2022,David,South,"£107,368.67",29,Furniture,£746.02,"£5,003.20",Returning,26%,Cash,Online
1043,06/02/2022,Charlie,North,"£109,465.42",47,Clothing,"£2,008.15","£2,348.36",New,1%,Bank Transfer,Online
1095,06/02/2022,Bob,West,"£109,033.10",37,Electronics,"£2,401.68","£2,971.66",Returning,1%,Bank Transfer,Retail
1008,06/02/2022,Eve,West,"£32,933.18",11,Clothing,£218.17,"£4,158.23",Returning,28%,Cash,Retail
1088,06/02/2022,Eve,North,"£228,930.24",44,Electronics,"£4,170.85","£5,476.80",Returning,5%,Cash,Retail
1036,06/02/2022,Bob,East,"£112,394.26",38,Electronics,£997.16,"£2,987.62",Returning,1%,Bank Transfer,Retail
1014,07/02/2022,David,West,"£18,425.92",5,Furniture,"£1,793.04","£4,439.98",New,17%,Bank Transfer,Retail
1033,07/02/2022,Bob,West,"£94,591.26",39,Furniture,"£1,410.43","£3,416.08",Returning,29%,Cash,Online
1064,07/02/2022,Alice,North,"£97,581.03",25,Food,"£2,071.80","£4,702.70",Returning,17%,Bank Transfer,Retail
1083,07/02/2022,Charlie,North,"£91,216.36",27,Food,"£1,574.51","£4,119.98",Returning,18%,Cash,Retail
1056,07/02/2022,Eve,West,"£102,398.44",46,Clothing,£971.88,"£2,294.90",Returning,3%,Credit Card,Online
1004,09/02/2022,Eve,South,"£20,560.61",4,Electronics,"£4,934.78","£5,192.18",New,1%,Bank Transfer,Retail
1020,09/02/2022,Charlie,West,"£17,293.60",5,Electronics,"£2,966.15","£3,458.72",New,0%,Bank Transfer,Online
1002,09/02/2022,Bob,East,"£47,150.36",30,Furniture,£694.50,"£2,123.89",New,26%,Cash,Online
1084,09/02/2022,David,West,"£48,062.67",20,Furniture,£287.06,"£2,700.15",New,11%,Credit Card,Online
1003,10/02/2022,Alice,East,"£15,877.98",4,Food,£845.48,"£4,410.55",Returning,10%,Cash,Retail
1003,10/02/2022,David,South,"£79,771.77",26,Furniture,"£1,491.98","£4,090.86",New,25%,Bank Transfer,Retail
1039,10/02/2022,Alice,West,"£60,898.56",25,Furniture,£485.23,"£2,537.44",Returning,4%,Bank Transfer,Online
1098,10/02/2022,Charlie,South,"£145,620.85",43,Electronics,"£1,556.35","£3,564.77",New,5%,Bank Transfer,Online
1074,11/02/2022,Charlie,East,"£57,564.47",18,Furniture,"£2,573.23","£3,256.99",Returning,2%,Bank Transfer,Online
1077,11/02/2022,David,North,"£200,912.15",50,Food,"£3,728.96","£4,095.24",Returning,2%,Cash,Online
1062,12/02/2022,David,East,"£10,454.44",13,Electronics,£419.24,"£1,044.40",New,23%,Cash,Online
1077,12/02/2022,Charlie,South,"£154,484.00",37,Furniture,"£4,036.28","£4,211.43",Returning,1%,Bank Transfer,Online
1021,13/02/2022,Bob,East,"£128,000.72",26,Furniture,"£4,856.90","£4,953.79",New,1%,Bank Transfer,Online
1021,13/02/2022,Alice,East,"£35,107.56",49,Electronics,£410.83,£738.64,New,3%,Credit Card,Retail
1021,13/02/2022,Eve,North,"£42,711.68",10,Electronics,"£2,043.48","£4,853.60",Returning,12%,Credit Card,Retail
1089,13/02/2022,Alice,North,"£89,752.14",30,Furniture,"£1,133.59","£3,182.70",Returning,6%,Bank Transfer,Retail
1094,13/02/2022,David,South,"£170,253.06",39,Furniture,"£1,905.55","£5,196.98",Returning,16%,Bank Transfer,Online
1082,14/02/2022,Charlie,South,"£21,542.07",5,Electronics,"£3,583.44","£4,952.20",Returning,13%,Credit Card,Retail
1039,14/02/2022,Eve,South,"£30,420.33",25,Electronics,£430.76,"£1,466.04",Returning,17%,Bank Transfer,Retail
1049,14/02/2022,David,East,"£23,056.08",9,Electronics,£124.96,"£3,124.13",Returning,18%,Bank Transfer,Retail
1036,15/02/2022,Alice,North,"£46,227.94",15,Electronics,"£2,490.60","£4,109.15",Returning,25%,Credit Card,Online
1013,15/02/2022,Charlie,West,"£190,730.34",48,Clothing,"£3,352.59","£4,044.61",Returning,2%,Bank Transfer,Retail
1024,15/02/2022,David,South,"£117,100.26",44,Clothing,£832.54,"£2,772.26",Returning,4%,Cash,Retail
1062,16/02/2022,Alice,West,"£8,696.13",19,Electronics,£140.46,£497.49,Returning,8%,Cash,Online
1064,17/02/2022,Charlie,East,"£45,103.31",26,Food,"£1,683.77","£2,312.99",New,25%,Cash,Online
1042,17/02/2022,David,West,"£132,226.80",34,Food,"£2,124.95","£4,629.79",New,16%,Bank Transfer,Retail
1022,18/02/2022,David,North,"£57,352.84",14,Food,"£3,885.87","£4,404.98",New,7%,Credit Card,Online
1022,18/02/2022,David,North,"£63,692.20",30,Furniture,"£1,835.94","£2,131.10",Returning,0%,Bank Transfer,Retail
1039,18/02/2022,David,North,"£88,663.58",25,Food,"£2,774.66","£3,984.88",New,11%,Bank Transfer,Retail
1051,18/02/2022,Eve,West,"£91,796.83",25,Food,"£2,653.66","£4,125.70",Returning,11%,Cash,Retail
1088,18/02/2022,Charlie,North,"£51,792.79",12,Electronics,"£1,925.94","£4,904.62",Returning,12%,Credit Card,Retail
1067,19/02/2022,Charlie,East,"£244,476.58",47,Electronics,"£4,827.35","£5,431.53",Returning,4%,Cash,Retail
1063,19/02/2022,Charlie,North,"£34,317.33",20,Clothing,£731.85,"£1,825.39",Returning,6%,Cash,Retail
1035,19/02/2022,Alice,West,"£141,265.80",34,Food,"£2,791.06","£4,239.67",Returning,2%,Cash,Online
1035,19/02/2022,Alice,South,"£108,389.65",44,Clothing,£224.71,"£2,677.61",Returning,8%,Bank Transfer,Retail
1045,20/02/2022,Charlie,East,"£131,245.50",42,Clothing,"£3,085.60","£3,163.70",Returning,1%,Cash,Online
1074,20/02/2022,Charlie,North,"£50,245.81",28,Clothing,"£1,028.24","£2,086.62",New,14%,Bank Transfer,Online
1099,20/02/2022,David,East,"£216,832.54",42,Furniture,"£1,284.23","£5,322.35",Returning,3%,Bank Transfer,Online
1084,22/02/2022,David,West,"£43,239.89",37,Electronics,"£1,148.82","£1,205.39",New,3%,Bank Transfer,Online
1073,22/02/2022,Eve,North,"£60,458.36",34,Electronics,"£1,042.30","£2,339.72",New,24%,Bank Transfer,Online
1014,22/02/2022,Alice,West,"£150,294.25",50,Food,"£1,683.37","£3,197.75",Returning,6%,Cash,Retail
1064,22/02/2022,Bob,North,"£101,949.29",26,Clothing,"£1,190.65","£4,405.76",Returning,11%,Cash,Retail
1098,23/02/2022,Eve,North,"£79,589.24",21,Clothing,"£3,580.25","£3,871.42",Returning,2%,Bank Transfer,Retail
1050,24/02/2022,Bob,West,"£45,135.20",14,Clothing,"£2,830.31","£3,331.67",Returning,3%,Bank Transfer,Online
1008,24/02/2022,David,West,"£71,349.59",43,Furniture,£236.29,"£1,728.43",New,4%,Credit Card,Online
1076,25/02/2022,Charlie,East,"£65,603.72",14,Clothing,"£4,683.76","£4,685.98",New,0%,Cash,Online
1088,25/02/2022,David,East,"£96,105.85",36,Furniture,"£2,446.16","£2,966.23",Returning,10%,Credit Card,Online
1014,25/02/2022,Bob,North,"£92,645.74",20,Electronics,"£3,651.98","£4,792.36",New,3%,Bank Transfer,Online
1083,25/02/2022,Eve,South,"£40,840.76",32,Furniture,£607.88,"£1,302.32",Returning,2%,Credit Card,Retail
1082,25/02/2022,Bob,North,"£64,325.53",23,Electronics,"£1,816.63","£3,679.95",New,24%,Credit Card,Online
1010,25/02/2022,Charlie,East,"£157,808.26",38,Electronics,"£3,293.90","£4,371.42",Returning,5%,Bank Transfer,Retail
1012,25/02/2022,David,North,"£81,005.72",18,Furniture,£709.22,"£4,891.65",Returning,8%,Cash,Online
1022,25/02/2022,Charlie,South,"£85,324.53",24,Furniture,£334.52,"£4,283.36",Returning,17%,Bank Transfer,Retail
1023,26/02/2022,Charlie,West,"£62,126.12",48,Furniture,"£1,124.91","£1,347.33",Returning,4%,Bank Transfer,Online
1031,26/02/2022,Eve,North,"£153,014.69",49,Food,"£2,913.88","£4,108.88",New,24%,Credit Card,Online
1056,26/02/2022,Eve,West,"£51,055.04",33,Furniture,£885.47,"£2,009.25",New,23%,Cash,Online
1047,26/02/2022,Bob,East,"£138,931.40",41,Electronics,"£1,361.39","£4,289.33",Returning,21%,Bank Transfer,Retail
1098,27/02/2022,Charlie,North,"£127,366.21",32,Food,"£3,640.60","£4,913.82",New,19%,Credit Card,Online
1042,27/02/2022,David,West,"£29,507.03",8,Electronics,"£2,040.31","£4,191.34",New,12%,Cash,Retail
1034,27/02/2022,Alice,East,"£144,143.06",45,Food,"£2,819.05","£4,511.52",New,29%,Credit Card,Online
1070,28/02/2022,Bob,North,"£31,695.11",7,Furniture,"£4,470.14","£4,667.91",New,3%,Bank Transfer,Online
1090,28/02/2022,Charlie,West,"£141,801.08",38,Clothing,"£3,543.97","£3,858.63",Returning,3%,Credit Card,Online
1001,28/02/2022,Alice,East,"£12,401.47",3,Furniture,"£1,601.00","£4,980.51",Returning,17%,Credit Card,Online
1024,28/02/2022,David,North,"£47,877.79",39,Food,£255.79,"£1,615.31",New,24%,Credit Card,Retail
1095,28/02/2022,Bob,East,"£63,705.74",18,Clothing,£387.16,"£4,424.01",New,20%,Bank Transfer,Online
1064,01/03/2022,Charlie,North,"£43,310.50",9,Clothing,"£4,796.22","£4,969.86",Returning,3%,Bank Transfer,Online
1024,01/03/2022,Eve,East,"£18,971.94",12,Clothing,"£1,430.40","£1,646.87",Returning,4%,Credit Card,Online
1059,01/03/2022,Bob,North,"£22,938.42",38,Electronics,£548.89,£701.91,New,14%,Credit Card,Online
1017,01/03/2022,David,West,"£42,376.94",19,Furniture,"£1,974.61","£2,424.31",New,8%,Cash,Online
1055,01/03/2022,Charlie,West,"£19,583.80",7,Electronics,£522.57,"£3,215.73",Returning,13%,Credit Card,Retail
1076,01/03/2022,Charlie,West,"£153,144.36",42,Electronics,"£3,216.35","£4,096.96",Returning,11%,Bank Transfer,Retail
1091,01/03/2022,Bob,North,"£170,797.18",50,Electronics,"£2,415.67","£4,616.14",New,26%,Credit Card,Online
1041,03/03/2022,Alice,North,"£39,663.02",9,Furniture,"£1,792.58","£4,688.30",Returning,6%,Credit Card,Online
1015,03/03/2022,Charlie,West,"£66,935.07",21,Food,"£1,073.05","£3,219.58",Returning,1%,Cash,Retail
1055,04/03/2022,Alice,West,"£123,802.56",46,Electronics,"£2,691.09","£2,803.50",Returning,4%,Cash,Online
1099,04/03/2022,Charlie,East,"£13,048.91",3,Furniture,"£3,751.81","£4,942.77",Returning,12%,Bank Transfer,Retail
1056,04/03/2022,Alice,West,"£63,428.04",16,Electronics,"£3,812.88","£5,148.38",New,23%,Cash,Online
1029,04/03/2022,Eve,East,"£14,508.67",4,Clothing,"£2,546.06","£4,772.59",New,24%,Bank Transfer,Online
1081,04/03/2022,Charlie,North,"£109,928.09",34,Clothing,"£2,446.72","£3,319.84",Returning,3%,Credit Card,Retail
1015,04/03/2022,Alice,North,"£55,727.93",23,Clothing,£995.98,"£2,523.91",New,4%,Bank Transfer,Online
1032,04/03/2022,Alice,West,"£128,630.42",43,Furniture,"£1,870.29","£3,519.30",New,15%,Bank Transfer,Online
1075,04/03/2022,Alice,North,"£104,179.70",26,Clothing,"£1,100.62","£5,072.04",New,21%,Cash,Online
1091,05/03/2022,Bob,North,"£21,286.36",5,Food,"£4,227.22","£5,321.59",Returning,20%,Cash,Retail
1046,06/03/2022,Bob,North,"£8,670.20",7,Clothing,£393.60,"£1,548.25",Returning,20%,Bank Transfer,Retail
1032,06/03/2022,Charlie,West,"£12,268.58",4,Food,"£1,484.49","£3,370.49",Returning,9%,Credit Card,Retail
1029,06/03/2022,Eve,South,"£12,473.50",8,Food,£316.67,"£1,607.41",Returning,3%,Credit Card,Online
1071,07/03/2022,Eve,East,"£5,298.54",3,Furniture,"£1,040.00","£2,323.92",Returning,24%,Cash,Retail
1100,07/03/2022,Eve,South,"£22,368.65",6,Clothing,"£3,071.16","£3,843.41",Returning,3%,Cash,Online
1025,07/03/2022,Eve,East,"£37,901.26",13,Clothing,"£2,036.88","£3,993.81",Returning,27%,Cash,Retail
1088,07/03/2022,Eve,West,"£26,892.90",27,Clothing,£227.60,"£1,310.57",New,24%,Cash,Online
1088,07/03/2022,David,East,"£34,237.39",11,Food,"£1,008.51","£3,176.01",New,2%,Cash,Retail
1049,08/03/2022,Alice,West,"£84,117.54",18,Clothing,"£4,293.76","£4,789.11",New,2%,Cash,Online
1074,08/03/2022,Bob,East,"£156,784.00",32,Food,"£2,730.56","£4,899.50",New,0%,Bank Transfer,Retail
1090,08/03/2022,Eve,East,"£150,042.12",36,Electronics,"£1,240.08","£5,021.49",New,17%,Bank Transfer,Retail
1033,09/03/2022,Charlie,East,"£18,734.46",7,Furniture,"£1,845.36","£3,431.22",New,22%,Credit Card,Online
1066,09/03/2022,Alice,South,"£46,695.55",11,Clothing,"£1,387.14","£4,823.92",Returning,12%,Credit Card,Retail
1093,09/03/2022,Eve,West,"£215,622.05",49,Furniture,£273.06,"£5,177.00",New,15%,Bank Transfer,Retail
1008,10/03/2022,Alice,North,"£190,403.68",49,Electronics,"£3,832.71","£3,893.10",Returning,0%,Bank Transfer,Online
1071,10/03/2022,David,South,"£10,996.87",4,Electronics,"£1,005.55","£2,924.70",Returning,6%,Bank Transfer,Retail
1068,10/03/2022,Alice,South,"£62,400.13",13,Electronics,"£4,131.32","£4,800.01",New,0%,Cash,Online
1010,10/03/2022,Alice,South,"£56,333.48",12,Clothing,"£3,191.62","£5,102.67",New,8%,Bank Transfer,Retail
1093,10/03/2022,Eve,West,"£69,990.48",28,Furniture,£325.48,"£2,777.40",Returning,10%,Cash,Retail
1038,10/03/2022,Alice,South,"£184,598.60",40,Food,"£1,690.42","£5,071.39",New,9%,Credit Card,Retail
1017,11/03/2022,Eve,East,"£123,398.38",37,Clothing,"£3,267.33","£3,448.29",New,3%,Credit Card,Online
1099,11/03/2022,Bob,West,"£97,866.83",27,Food,"£2,381.45","£4,832.93",Returning,25%,Credit Card,Retail
1040,11/03/2022,Eve,East,"£54,826.73",16,Furniture,£943.79,"£4,079.37",Returning,16%,Credit Card,Online
1075,11/03/2022,Alice,North,"£90,610.28",28,Electronics,£538.19,"£3,442.64",New,6%,Credit Card,Retail
1028,12/03/2022,Bob,West,"£60,921.75",18,Food,"£3,181.80","£4,284.23",Returning,21%,Bank Transfer,Retail
1077,12/03/2022,David,North,"£10,054.82",3,Electronics,£193.52,"£4,468.81",New,25%,Bank Transfer,Online
